0.0,0.0,
"Sayın Yetkili ,
  Gelişen ve değişen günümüz 
 teknolojisi , çalışma koşıllarında özellikle kurumlarda çalışan personelin kurum bünyesinde her çalışma koşullarının ihtiyacını sağlayabilen , çalış...tığı departmana hızlı bir şekilde uyum sağlayan ve motive olabilen ,başka bir departmana geçtiği zaman oryantasyon ve adaptasyon sürecini başarıyla atlatan,yüksek verim sağlayan personelin arandığı yadsınamaz bir gerçektir.
  Bu koşullar çerçevesinde bizler Büro Yönetimi ve Sekreterlik (3179) mezunları olarak aldığımız eğitimler neticesinde ..
  1. SANTRAL MEMURLUĞU (Gelen evrak ve giden evrak kayıt sistematiği bu memurdadır ve sekreterlik eğitimi alan bizlerin önceliğinin devam etmesi gerekir)
  2.Arşivleme ve yöntemlerinin kullanılması
 3.Bürolarda kullanılan (fotokopi,fax,vb ofis cihazlarının) kullanılması
 4.On parmak klavye kullanımı
 5.Temel bilgisayar eğitimi ve office programlarının kullanılması
 6.Temel iktisat ve istatistik kavramları
 7.Yönetici asistanlığı ve santral operatörlüğü
  eğitimleri alarak başarıyla mezun olmuş kişileriz.
  Kurumunuzun ihtiyacıolan personel seçiminde
  1.Yönetici asistanlığı
 2.Santral memurluğu
  3.VHKİ
 4.Bilgisayar işletmenliği
  5.Büro memuru
  pozisyonlarında tercih edeceğiniz mezuniyet branşı 3179 Büro Yönetimi ve Sekreterlik olması halinde kurumunuzun ihtiyacını karşılayan , adaptasyon ve oryantasyon sürecini enkısa sürede aşacak, yüksek verim alacağınız kişilerdir.
  Sizden ricamız bu talebimizi değerlendirmeniz , biz Büro Yönetimi ve Sekreterlik mezunlarını çok memnun edecektir.
  Saygılarımızla.",spam,
"Sayın Yetkili,
 
28 Kasım 2010 tarihli KPSS sınavı sonucu ile yapılan personel alımlarında 3391 Halkla İlişkiler Ön Lisans programından mezun olan, kadro bekleyen ve memurluk prosedürüne uygun yetiştirilen, biz Halkla İlişkiler Ön Lisans mezunlarına merkezi atamalarda sınırlı sayıda kadro verilerek bölümümüz mezunları mağdur edilmiştir.
Halkla İlişkiler Ön Lisans mezunları olarak bu konuda gerekli hassasiyetin gösterilmesini, mağduriyetimizin giderilmesi için kurumlarınızda 3391 Halkla İlişkiler Ön Lisans koduna da yer verilmesini bilgilerinize arz ederiz.
 
Saygılarımızla,
Halkla İlişkiler Ön Lisans Mezunları",spam,
"Sayın Yetkili ,
  Gelişen ve değişen günümüz 
 teknolojisi , çalışma koşıllarında özellikle kurumlarda çalışan personelin kurum bünyesinde her çalışma koşullarının ihtiyacını sağlayabilen , çalış...tığı departmana hızlı bir şekilde uyum sağlayan ve motive olabilen ,başka bir departmana geçtiği zaman oryantasyon ve adaptasyon sürecini başarıyla atlatan,yüksek verim sağlayan personelin arandığı yadsınamaz bir gerçektir.
  Bu koşullar çerçevesinde bizler Büro Yönetimi ve Sekreterlik (3179) mezunları olarak aldığımız eğitimler neticesinde ..
  1. SANTRAL MEMURLUĞU (Gelen evrak ve giden evrak kayıt sistematiği bu memurdadır ve sekreterlik eğitimi alan bizlerin önceliğinin devam etmesi gerekir)
  2.Arşivleme ve yöntemlerinin kullanılması
 3.Bürolarda kullanılan (fotokopi,fax,vb ofis cihazlarının) kullanılması
 4.On parmak klavye kullanımı
 5.Temel bilgisayar eğitimi ve office programlarının kullanılması
 6.Temel iktisat ve istatistik kavramları
 7.Yönetici asistanlığı ve santral operatörlüğü
  eğitimleri alarak başarıyla mezun olmuş kişileriz.
  Kurumunuzun ihtiyacıolan personel seçiminde
  1.Yönetici asistanlığı
 2.Santral memurluğu
  3.VHKİ
 4.Bilgisayar işletmenliği
  5.Büro memuru
  pozisyonlarında tercih edeceğiniz mezuniyet branşı 3179 Büro Yönetimi ve Sekreterlik olması halinde kurumunuzun ihtiyacını karşılayan , adaptasyon ve oryantasyon sürecini enkısa sürede aşacak, yüksek verim alacağınız kişilerdir.
  Sizden ricamız bu talebimizi değerlendirmeniz , biz Büro Yönetimi ve Sekreterlik mezunlarını çok memnun edecektir.
  Saygılarımızla...",spam,
"T.C.
URLA KAYMAKAMLIĞI
URLA HAKAN ÇEKEN ANADOLU LİSESİ MÜDÜRLÜĞÜ
REHBERLİK ve PSİKOLOJİK DANIŞMA SERVİSİ


İLGİLİ MAKAMA,

Okulumuz Rehberlik ve Psikolojik Danışma Servisi, öğrencilerimizin üst öğrenim
kurumlarına hazırlanma ve mesleğe yönelim süreçlerine yardımcı olmak amacıyla
tanıtım ve bilgilendirme çalışmaları düzenlemek istemektedir. Üniversitenizin
tanıtımında kullanabileceğimiz broşür, kitapçık, CD vs. temini konusunda bize
yardımcı olmanızı bekliyoruz.
Çalışmalarınızda başarılar diliyoruz. 15.02.2012


Hüseyin ÇİFTÇİ
    Okul Müdürü


NOT: İletişim adres ve numaralarımız aşağıdadır:

Şebnem GÜRMAN (Rehber Öğretmen)	:

zambak35@hotmail.com Tel : 0(505) 661 45 99

Aşkım BAYINDIR	(Rehber Öğretmen)	:
askimbayindir@hotmail.com Tel : 0 (506) 307 44 44",spam,
"Sayın Yetkili ,Hızla büyüyen ve gelişmekte olan toplumumuzda 
bu büyümeye uyum sağlayabilecek ve çalıştığı kurumun gelişmesine ve 
yükselmesine katkıda bulunabilecek personellere ihtiyaç 
duyulmaktadır.Biz muhasebe bölümü mezunları olarak değişen çağa ve 
süregelen yeniliklere üniversitelerde aldığımız eğitimlerle şüphesizki 
uyum sağlamakta asla zorlanmayacağımız gözlenmektedir.Muhasebe mezunu bir personel,-Muhasebe, maliye, ekonomi, vergi kanunları, ticaret hukuku konularına ilgi ve bilgisi olan,-Sabırlı ve düzenli çalışmasını bilen,-İşinde dikkatli, tertipli düzenli çalışabilen,- Finans konularına hakim- Matematik ve mantık konularında başarılı,- Ayrıntılar üzerinde uzun süre dikkatle çalışabilen,- Kapalı yerlerde oturarak çalışmaktan sıkılmayan,- Dikkatli, sabırlı, düzenli ve titiz, sorumluluk sahibi-İşletmenin Sosyal Güvenlikle ilgili bilgiye sahip ve bu konlarla ilgili belge düzenleyebilen- Bilgisayar kullanarak alanı ile ilgili yazışmalar yapabilme, bilgi depolayabilme, depolanmış bilgileri kullanabilme-Raporlama yeteneğine sahip-.Temel
 iktisat ve istatistik kavramları, Temel bilgisayar eğitimi ve office 
programlarının kullanılması, gelen evrak ve giden evrak kayıt 
sistematiği, arşivleme ve dosyalama konularına hakim,-İşletme adına ödenmesi gereken vergi, harç ve diğer ödemelerin takibini yaparak ödenmesini sağlar,-
 Her ayın sonunda o ayın hesaplarının ve yapılan işlemlerin genel 
kontrolü amacıyla aylık dökümü çıkarır (aylık mizan), hata var ise 
gerekli düzeltmeleri yapar,- İşletmenin bankalar, müşteriler, maliye ve diğer kuruluşlarla olan ilişkilerini izler,- Yıl sonunda işletmenin mal varlığının çıkarılması amacıyla sayım ve ölçüm işlemlerini (envanter) yapar,- Dönem sonunda işletmenin kar ve zarar durumunu, varlığını, alacak ve borcunu gösteren tabloları (bilanço) düzenler,- Kurum ve kuruluşların yıl boyunca yapmış olduğu işlemlerin muhasebe kayıtlarını izler ve denetler.Görüldüğü üzere muhasebe mezunu bir personel hem donanımlı hem teknik hem de pratik özelliklere sahip durumdadır..Kurumunuzun ihtiyacı olan personel seçiminde1.Muhasebe memuru2-Ayniyat memuru3-Veznedar4-Bilgisayar işletmeni5-VHKİ6-Satınalma elemanı7-Stok ve depo elemanı8-Finansman ve personel elemanı9-Mutemet, daktioğraf10-Anbar memuru, ambar memuru11-Santral
 memuru, yönetici asistanı, sekreter ve bunlar gibi daha birçok dalda 
hizmet vermek için yeterli donanıma sahip bulunmaktayızBu 
sebeple 3173 kodumuzla muhasebeciler olarak, personel talebinizde bu 
özelliklerimizi göz önünde bulundurarak değerlendirme yapacağınızı 
umuyoruz.Saygılarımla",spam,
"Sayın Yetkili ,

Hızla büyüyen ve gelişmekte olan toplumumuzda bu büyümeye uyum 
sağlayabilecek ve çalıştığı kurumun gelişmesine ve yükselmesine katkıda 
bulunabilecek personellere ihtiyaç duyulmaktadır.Biz muhasebe bölümü 
mezunları olarak değişen çağa ve süregelen yeniliklere
 üniversitelerde aldığımız eğitimlerle şüphesizki uyum sağlamakta asla 
zorlanmayacağımız gözlenmektedir.

Muhasebe mezunu bir personel,

-Muhasebe, maliye, ekonomi, vergi kanunları, ticaret hukuku konularına ilgi ve bilgisi olan,

-Sabırlı ve düzenli çalışmasını bilen,

-İşinde dikkatli, tertipli düzenli çalışabilen,

- Finans konularına hakim

- Matematik ve mantık konularında başarılı,

- Ayrıntılar üzerinde uzun süre dikkatle çalışabilen,

- Kapalı yerlerde oturarak çalışmaktan sıkılmayan,

- Dikkatli, sabırlı, düzenli ve titiz, sorumluluk sahibi

-İşletmenin Sosyal Güvenlikle ilgili bilgiye sahip ve bu konlarla ilgili belge düzenleyebilen

- Bilgisayar kullanarak alanı ile ilgili yazışmalar yapabilme, bilgi depolayabilme, depolanmış bilgileri kullanabilme

-Raporlama yeteneğine sahip

-.Temel iktisat ve istatistik kavramları, Temel bilgisayar eğitimi ve 
office programlarının kullanılması, gelen evrak ve giden evrak kayıt 
sistematiği, arşivleme ve dosyalama konularına hakim,

-İşletme adına ödenmesi gereken vergi, harç ve diğer ödemelerin takibini yaparak ödenmesini sağlar,

- Her ayın sonunda o ayın hesaplarının ve yapılan işlemlerin genel 
kontrolü amacıyla aylık dökümü çıkarır (aylık mizan), hata var ise 
gerekli düzeltmeleri yapar,

- İşletmenin bankalar, müşteriler, maliye ve diğer kuruluşlarla olan ilişkilerini izler,

- Yıl sonunda işletmenin mal varlığının çıkarılması amacıyla sayım ve ölçüm işlemlerini (envanter) yapar,

- Dönem sonunda işletmenin kar ve zarar durumunu, varlığını, alacak ve borcunu gösteren tabloları (bilanço) düzenler,

- Kurum ve kuruluşların yıl boyunca yapmış olduğu işlemlerin muhasebe kayıtlarını izler ve denetler.

Görüldüğü üzere muhasebe mezunu bir personel hem donanımlı hem teknik hem de pratik özelliklere sahip durumdadır..

Kurumunuzun ihtiyacı olan personel seçiminde

1.Muhasebe memuru

2-Ayniyat memuru

3-Veznedar

4-Bilgisayar işletmeni

5-VHKİ

6-Satınalma elemanı

7-Stok ve depo elemanı

8-Finansman ve personel elemanı

9-Mutemet, daktioğraf

10-Anbar memuru, ambar memuru

11-Santral memuru, yönetici asistanı, sekreter ve bunlar gibi daha 
birçok dalda hizmet vermek için yeterli donanıma sahip bulunmaktayız

Bu sebeple 3173 kodumuzla muhasebeciler olarak, personel talebinizde bu 
özelliklerimizi göz önünde bulundurarak değerlendirme yapacağınızı 
umuyoruz.

Saygılarımla",spam,
‎3175 Kodlu Önlisans Bankacılık ve Sigortacılık bölümü mezunları adına gönderilmiştir. Bölümümüz ygs sonuçlarına göre en yüksek puanlı bir kaç Önlisans bölümü arasında yer almaktadır. Bölümümüzün taban puanı 275'tir.çok sayıda ortak ders gö...rdüğümüz Muhasebe bölümünün puan ortalaması ise 225 puan dolayındadır. Bu bilgiler Muhasebe bölümünü yerme anlamında değildir sadece sayısal bir gerçekliği belirtmek içindir.Bölümümüz sadece mesleğe yönelik eğitim gören bir bölüm değildir.Personel seçimde tercih ettiğiniz Muhasebe bölümünün ana dersleri olan GENEL MUHASEBE,BANKA MUHASEBESİ,SİGORTA MUHASEBESİ,MALİ ANALİZ TEKNİKLERİ,FİNANSAL YÖNETİM gibi muhasebe içerikli derslerin eğitimi de almış bulunmaktayız ayrıca TEMEL BİLGİ TEKNOLOJİSİ,BİLGİSAYAR UYGULAMALARI derslerde eğitim alarak istediğiniz personel özelliklerine sahip kişileri yetiştiren bir bölümün mezunları durumundayız.Aşağıda belirttiğim derslerde diğer ortak derslerimizdir.1)EKONOMİYE GİRİŞ2)İŞLETME EKONOMİSİ3)GENEL MUHASEBE4)İŞLETME MATEMATİĞİ5)HUKUKUN TEMEL KAVRAMLARI6)PARA BANKA7)FİNANSAL YÖNETİM8)PAZARLAMA YÖNETİMİ9)İSTATİSTİK10)TİCARET VE BORÇLAR HUKUKU11)ULUSLARARASI İKTİSAT12)FİNANSAL KURUMLAR VE PİYASALAR13)DIŞ TİCARET İŞLEMLERİ14)TÜRK VERGİ SİSTEMİ15)ULUSLARARASI PİYASALAR VE FİNANS16) İCRA İFLAS HUKUKU17)MALİ ANALİZ TEKNİKLERi18)BİLGİSAYAR UYGULAMALARI-119)BİLGİSAYAR UYGULAMALARI-220)YABANCI DİL 1(İNGİLİZCE)21)YABANCI DİL 2 (İNGİLİZCE)Bölümümüz Muhasebe, Bilgisayar, İşletme gibi bölümlerle eşdeğerde bir bölümdür. Bu yüzden 12 Mart 2012 başlayacak personel ihtiyacı taleplerinizde Bölümümüz 3175 BANKACILIK VE SİGORTACILIK ÖNLİSANS'ında yer almasını bekliyoruz.,spam,
"Bizler ÖSYMnin 10--11 Temmuz 2010 tarihinde yaptığı Kamu Personeli Seçme Sınavına giren ve atama bekleyen HALKLA İLİŞKİLER VE TANITIM, HALKLA İLİŞKİLER, HALKLA İLİŞKİLER VE REKLAMCILIK (4291)Lisans bölümü mezunu bireyleriz. Ve 7.500 kişi kamu alımlarında atama beklemekteyiz.
 
Bizler Üniversite öğrenimimiz boyunca, sorun çözme, çözüm üretme, toplumsal ilişki, insan psikolojisi, kurumsal kimlik ve imaj, kamu kurumlarında halkla ilişkiler, Kültürler arası iletişim, basın yayının etkileri ve yöntemleri gibi birçok alanda beklentilerinize yanıt verecek nitelikte yetiştirildik. İnsanın ve iletişimin olduğu her yerde bize de ihtiyaç duyulduğunu gözlemledik.
 
2011 Kasım ayında yapılan KPSS atamalarında İşletme, iktisat, kamu yönetimi ve benzeri bölümlerle aynı kategoride tercih edilmemiz biz sosyal bilimciler için bizlere bir şans verilmesini ve kendimizi ifade etmemizi engellemektedir.
 
Siz değerli yöneticilerimizden isteğimiz, 4291 nitelik kodlu Halkla İlişkiler ve Tanıtım mezunlarının beklentilerini önemsemeniz ve kurumunuz memur alımlarında 4291 nitelik kodu ile alım yapmanızdır. Saygılarımızı sunar Başarılı çalışmalarınızın devamını dileriz.",spam,
"Sayın Yetkili ,Hızla büyüyen ve gelişmekte olan toplumumuzda bu büyümeye uyumsağlayabilecek ve çalıştığı kurumun gelişmesine ve yükselmesine katkıdabulunabilecek personellere ihtiyaç duyulmaktadır.Biz muhasebe bölümümezunları olarak değişen çağa ve süregelen yeniliklere üniversitelerdealdığımız eğitimlerle şüphesizki uyum sağlamakta asla zorlanmayacağımızgözlenmektedir.Muhasebe mezunu bir personel,-Muhasebe, maliye, ekonomi, vergi kanunları, ticaret hukuku konularına ilgi vebilgisi olan,-Sabırlı ve düzenli çalışmasını bilen,-İşinde dikkatli, tertipli düzenli çalışabilen,- Finans konularına hakim- Matematik ve mantık konularında başarılı,- Ayrıntılar üzerinde uzun süre dikkatle çalışabilen,- Kapalı yerlerde oturarak çalışmaktan sıkılmayan,- Dikkatli, sabırlı, düzenli ve titiz, sorumluluk sahibi-İşletmenin Sosyal Güvenlikle ilgili bilgiye sahip ve bu konlarla ilgilibelge düzenleyebilen- Bilgisayar kullanarak alanı ile ilgili yazışmalar yapabilme, bilgidepolayabilme, depolanmış bilgileri kullanabilme-Raporlama yeteneğine sahip-.Temel iktisat ve istatistik kavramları, Temel bilgisayar eğitimi veoffice programlarının kullanılması, gelen evrak ve giden evrakkayıt sistematiği, arşivleme ve dosyalama konularına hakim,-İşletme adına ödenmesi gereken vergi, harç ve diğer ödemelerin takibiniyaparak ödenmesini sağlar,- Her ayın sonunda o ayın hesaplarının ve yapılan işlemlerin genel kontrolüamacıyla aylık dökümü çıkarır (aylık mizan), hata var ise gereklidüzeltmeleri yapar,- İşletmenin bankalar, müşteriler, maliye ve diğer kuruluşlarla olanilişkilerini izler,- Yıl sonunda işletmenin mal varlığının çıkarılması amacıyla sayım ve ölçümişlemlerini (envanter) yapar,- Dönem sonunda işletmenin kar ve zarar durumunu, varlığını, alacak veborcunu gösteren tabloları (bilanço) düzenler,- Kurum ve kuruluşların yıl boyunca yapmış olduğu işlemlerin muhasebekayıtlarını izler ve denetler.Görüldüğü üzere muhasebe mezunu bir personel hem donanımlı hem teknik hemde pratik özelliklere sahip durumdadır..Kurumunuzun ihtiyacı olan personel seçiminde1.Muhasebe memuru2-Ayniyat memuru3-Veznedar4-Bilgisayar işletmeni5-VHKİ6-Satınalma elemanı7-Stok ve depo elemanı8-Finansman ve personel elemanı9-Mutemet, daktioğraf10-Anbar memuru, ambar memuru11-Santral memuru, yönetici asistanı, sekreter ve bunlar gibi daha birçokdalda hizmet vermek için yeterli donanıma sahip bulunmaktayız...Bu sebeple 3173 kodumuzla muhasebeciler olarak, personel talebinizde buözelliklerimizi göz önünde bulundurarak değerlendirme yapacağınızı umuyoruz.Saygılarımızla...",spam,
"Sayın Yetkili ,Hızla büyüyen ve gelişmekte olan toplumumuzda 
bu büyümeye uyum sağlayabilecek ve çalıştığı kurumun gelişmesine ve 
yükselmesine katkıda bulunabilecek personellere ihtiyaç 
duyulmaktadır.Biz muhasebe bölümü mezunları olarak değişen çağa ve 
süregelen yeniliklere üniversitelerde aldığımız eğitimlerle şüphesizki 
uyum sağlamakta asla zorlanmayacağımız gözlenmektedir.Muhasebe mezunu bir personel,-Muhasebe, maliye, ekonomi, vergi kanunları, ticaret hukuku konularına ilgi ve bilgisi olan,-Sabırlı ve düzenli çalışmasını bilen,-İşinde dikkatli, tertipli düzenli çalışabilen,- Finans konularına hakim- Matematik ve mantık konularında başarılı,- Ayrıntılar üzerinde uzun süre dikkatle çalışabilen,- Kapalı yerlerde oturarak çalışmaktan sıkılmayan,- Dikkatli, sabırlı, düzenli ve titiz, sorumluluk sahibi-İşletmenin Sosyal Güvenlikle ilgili bilgiye sahip ve bu konlarla ilgili belge düzenleyebilen- Bilgisayar kullanarak alanı ile ilgili yazışmalar yapabilme, bilgi depolayabilme, depolanmış bilgileri kullanabilme-Raporlama yeteneğine sahip-.Temel
 iktisat ve istatistik kavramları, Temel bilgisayar eğitimi ve office 
programlarının kullanılması, gelen evrak ve giden evrak kayıt 
sistematiği, arşivleme ve dosyalama konularına hakim,-İşletme adına ödenmesi gereken vergi, harç ve diğer ödemelerin takibini yaparak ödenmesini sağlar,-
 Her ayın sonunda o ayın hesaplarının ve yapılan işlemlerin genel 
kontrolü amacıyla aylık dökümü çıkarır (aylık mizan), hata var ise 
gerekli düzeltmeleri yapar,- İşletmenin bankalar, müşteriler, maliye ve diğer kuruluşlarla olan ilişkilerini izler,- Yıl sonunda işletmenin mal varlığının çıkarılması amacıyla sayım ve ölçüm işlemlerini (envanter) yapar,- Dönem sonunda işletmenin kar ve zarar durumunu, varlığını, alacak ve borcunu gösteren tabloları (bilanço) düzenler,- Kurum ve kuruluşların yıl boyunca yapmış olduğu işlemlerin muhasebe kayıtlarını izler ve denetler.Görüldüğü üzere muhasebe mezunu bir personel hem donanımlı hem teknik hem de pratik özelliklere sahip durumdadır..Kurumunuzun ihtiyacı olan personel seçiminde1.Muhasebe memuru2-Ayniyat memuru3-Veznedar4-Bilgisayar işletmeni5-VHKİ6-Satınalma elemanı7-Stok ve depo elemanı8-Finansman ve personel elemanı9-Mutemet, daktioğraf10-Anbar memuru, ambar memuru11-Santral
 memuru, yönetici asistanı, sekreter ve bunlar gibi daha birçok dalda 
hizmet vermek için yeterli donanıma sahip bulunmaktayızBu 
sebeple 3173 kodumuzla muhasebeciler olarak, personel talebinizde bu 
özelliklerimizi göz önünde bulundurarak değerlendirme yapacağınızı 
umuyoruz.Saygılarımızla",spam,
